Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
Imperial Hotel, Ltd.	Imperial Hotel, Ltd.	Asia	Non-financial corporation
Fuyo General Lease Co., Ltd.	Fuyo General Lease Co., Ltd.	Asia	Non-financial corporation
Kohsoku Corp.	Kohsoku Corp.	Asia	Non-financial corporation
Kewpie Corp.	Kewpie Corp.	Asia	Non-financial corporation
Sakurajima Futo Kaisha, Ltd.	Sakurajima Futo Kaisha, Ltd.	Asia	Non-financial corporation
YAMANAKA CO., LTD.	YAMANAKA CO., LTD.	Asia	Non-financial corporation
Hurxley Corp.	Hurxley Corp.	Asia	Non-financial corporation
Mitsubishi Heavy Industries, Ltd.	Mitsubishi Logisnext Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Pencil Co., Ltd.	Mitsubishi Pencil Co., Ltd.	Asia	Non-financial corporation
Shokubun Co., Ltd.	Shokubun Co., Ltd.	Asia	Non-financial corporation
Sato Foods Industries Co., Ltd. /Aichi/	Sato Foods Industries Co., Ltd. /Aichi/	Asia	Non-financial corporation
Kasai Kogyo Co., Ltd.	Kasai Kogyo Co., Ltd.	Asia	Non-financial corporation
Mitsuba Corp.	Mitsuba Corp.	Asia	Non-financial corporation
Alpha Corp. (Yokohama)	Alpha Corp. (Yokohama)	Asia	Non-financial corporation
Nissin Corp.	Nissin Corp.	Asia	Non-financial corporation
Sakata Seed Corp.	Sakata Seed Corp.	Asia	Non-financial corporation
Rengo Co., Ltd.	Rengo Co., Ltd.	Asia	Non-financial corporation
Yaizu Suisankagaku Industry Co., Ltd.	Yaizu Suisankagaku Industry Co., Ltd.	Asia	Non-financial corporation
Semba Tohka Industries Co., Ltd.	Semba Tohka Industries Co., Ltd.	Asia	Non-financial corporation
Dai Nippon Printing Co., Ltd.	Dai Nippon Printing Co., Ltd.	Asia	Non-financial corporation
Yakult Honsha Co., Ltd.	Yakult Honsha Co., Ltd.	Asia	Non-financial corporation
Toppan Printing Co., Ltd.	Toppan Printing Co., Ltd.	Asia	Non-financial corporation
Dynapac Co., Ltd.	Dynapac Co., Ltd.	Asia	Non-financial corporation
Fuji Oil Holdings, Inc.	Fuji Oil Holdings, Inc.	Asia	Non-financial corporation
Tomoku Co., Ltd.	Tomoku Co., Ltd.	Asia	Non-financial corporation
Inageya Co., Ltd.	Inageya Co., Ltd.	Asia	Non-financial corporation
Meiji Holdings Co., Ltd.	Meiji Holdings Co., Ltd.	Asia	Non-financial corporation
Fuji Nihon Seito Corp.	Fuji Nihon Seito Corp.	Asia	Non-financial corporation
Dainichiseika Color & Chemicals Mfg. Co., Ltd.	Dainichiseika Color & Chemicals Mfg. Co., Ltd.	Asia	Non-financial corporation
T. Hasegawa Co., Ltd.	T. Hasegawa Co., Ltd.	Asia	Non-financial corporation
Bull-Dog Sauce Co., Ltd.	Bull-Dog Sauce Co., Ltd.	Asia	Non-financial corporation
Showa Sangyo Co., Ltd.	Showa Sangyo Co., Ltd.	Asia	Non-financial corporation
Morinaga Milk Industry Co., Ltd.	Morinaga Milk Industry Co., Ltd.	Asia	Non-financial corporation
Daito Gyorui Co., Ltd.	Daito Gyorui Co., Ltd.	Asia	Non-financial corporation
Ichimasa Kamaboko Co., Ltd.	Ichimasa Kamaboko Co., Ltd.	Asia	Non-financial corporation
Kameda Seika Co., Ltd.	Kameda Seika Co., Ltd.	Asia	Non-financial corporation
Sato Foods Co., Ltd. (Niigata)	Sato Foods Co., Ltd. (Niigata)	Asia	Non-financial corporation
Daiichi Kensetsu Corp.	Daiichi Kensetsu Corp.	Asia	Non-financial corporation
Nippon Flour Mills Co., Ltd.	OK Food Industry Co., Ltd.	Asia	Non-financial corporation
Nishikawa Rubber Co., Ltd.	Nishikawa Rubber Co., Ltd.	Asia	Non-financial corporation
AOHATA Corp.	AOHATA Corp.	Asia	Non-financial corporation
Konoike Transport Co., Ltd.	Konoike Transport Co., Ltd.	Asia	Non-financial corporation
Daiko Denshi Tsushin, Ltd.	Daiko Denshi Tsushin, Ltd.	Asia	Non-financial corporation
POPLAR Co., Ltd.	POPLAR Co., Ltd.	Asia	Non-financial corporation
Nitta Gelatin, Inc.	Nitta Gelatin, Inc.	Asia	Non-financial corporation
Nakano Corp.	Nakano Corp.	Asia	Non-financial corporation
Techno Ryowa Ltd.	Techno Ryowa Ltd.	Asia	Non-financial corporation
Natori Co., Ltd.	Natori Co., Ltd.	Asia	Non-financial corporation
Aichi Electric Co., Ltd.	Aichi Electric Co., Ltd.	Asia	Non-financial corporation
Nikko Co., Ltd. (6306)	Nikko Co., Ltd. (6306)	Asia	Non-financial corporation
Kobe Electric Railway Co. Ltd.	Kobe Electric Railway Co. Ltd.	Asia	Non-financial corporation
Shinyei Kaisha	Shinyei Kaisha	Asia	Non-financial corporation
SBS Holdings, Inc.	SBS Holdings, Inc.	Asia	Non-financial corporation
SAKURA KCS Corp.	SAKURA KCS Corp.	Asia	Non-financial corporation
Morozoff Ltd.	Morozoff Ltd.	Asia	Non-financial corporation
Nozawa Corp.	Nozawa Corp.	Asia	Non-financial corporation
Kawanishi Warehouse Co., Ltd.	Kawanishi Warehouse Co., Ltd.	Asia	Non-financial corporation
Asahi Group Holdings Ltd.	Asahi Group Holdings Ltd.	Asia	Non-financial corporation
Tokyo Ichiban Foods Co., Ltd.	Tokyo Ichiban Foods Co., Ltd.	Asia	Non-financial corporation
THE NIHON SEIMA CO., LTD.	THE NIHON SEIMA CO., LTD.	Asia	Non-financial corporation
Tradia Corp.	Tradia Corp.	Asia	Non-financial corporation
ITOCHU Corp.	ITOCHU Corp.	Asia	Non-financial corporation
Bourbon Corp. (Japan)	Bourbon Corp. (Japan)	Asia	Non-financial corporation
NH Foods Ltd.	NH Foods Ltd.	Asia	Non-financial corporation
Mitsubishi Corp.	Mitsubishi Shokuhin Co., Ltd.	Asia	Non-financial corporation
Iwatsuka Confectionery Co., Ltd.	Iwatsuka Confectionery Co., Ltd.	Asia	Non-financial corporation
Marudai Food Co., Ltd.	Marudai Food Co., Ltd.	Asia	Non-financial corporation
ALBIS Co., Ltd.	ALBIS Co., Ltd.	Asia	Non-financial corporation
Yoshimura Food Holdings KK	Yoshimura Food Holdings KK	Asia	Non-financial corporation
Kagome Co., Ltd.	Kagome Co., Ltd.	Asia	Non-financial corporation
Prima Meat Packers, Ltd.	Prima Meat Packers, Ltd.	Asia	Non-financial corporation
Nissin Sugar Co., Ltd.	Nissin Sugar Co., Ltd.	Asia	Non-financial corporation
Wellco Holdings Corp.	Wellco Holdings Corp.	Asia	Non-financial corporation
Yamazaki Baking Co., Ltd.	Yamazaki Baking Co., Ltd.	Asia	Non-financial corporation
Marubeni Corp.	Marubeni Corp.	Asia	Non-financial corporation
Chuo Gyorui Co., Ltd.	Hohsui Corp.	Asia	Non-financial corporation
Niitaka Co., Ltd.	Niitaka Co., Ltd.	Asia	Non-financial corporation
Global Food Creators Co., Ltd.	Global Food Creators Co., Ltd.	Asia	Non-financial corporation
Havix Corp.	Havix Corp.	Asia	Non-financial corporation
Eco's Co., Ltd.	Eco's Co., Ltd.	Asia	Non-financial corporation
Uoriki Co., Ltd.	Uoriki Co., Ltd.	Asia	Non-financial corporation
Ishikawa Seisakusho, Ltd.	Ishikawa Seisakusho, Ltd.	Asia	Non-financial corporation
The Kinki Sharyo Co., Ltd.	The Kinki Sharyo Co., Ltd.	Asia	Non-financial corporation
JGC Corp.	JGC Corp.	Asia	Non-financial corporation
Tokyo Dome Corp.	Tokyo Dome Corp.	Asia	Non-financial corporation
Nihon Plast Co., Ltd.	Nihon Plast Co., Ltd.	Asia	Non-financial corporation
Nittetsu Mining Co., Ltd.	Nittetsu Mining Co., Ltd.	Asia	Non-financial corporation
Riken Technos Corp.	Riken Technos Corp.	Asia	Non-financial corporation
Yamato International, Inc.	Yamato International, Inc.	Asia	Non-financial corporation
UEX, Ltd.	UEX, Ltd.	Asia	Non-financial corporation
Hirano Tecseed Co., Ltd.	Hirano Tecseed Co., Ltd.	Asia	Non-financial corporation
Sanwa Holdings Corp.	Sanwa Holdings Corp.	Asia	Non-financial corporation
Kikusui Chemical Industries Co., Ltd.	Kikusui Chemical Industries Co., Ltd.	Asia	Non-financial corporation
Tamai Steamship Co., Ltd.	Tamai Steamship Co., Ltd.	Asia	Non-financial corporation
AZEARTH Corp.	AZEARTH Corp.	Asia	Non-financial corporation
Kawasaki Heavy Industries, Ltd.	Kawasaki Heavy Industries, Ltd.	Asia	Non-financial corporation
MITSUI-SOKO HOLDINGS Co., Ltd.	MITSUI-SOKO HOLDINGS Co., Ltd.	Asia	Non-financial corporation
SEC Carbon Ltd.	SEC Carbon Ltd.	Asia	Non-financial corporation
GOLDWIN INC.	GOLDWIN INC.	Asia	Non-financial corporation
SINANEN Holdings Co., Ltd.	SINANEN Holdings Co., Ltd.	Asia	Non-financial corporation
Nissin Foods Holdings Co., Ltd.	Nissin Foods Holdings Co., Ltd.	Asia	Non-financial corporation
Nippon Kinzoku Co., Ltd.	Nippon Kinzoku Co., Ltd.	Asia	Non-financial corporation
NAIGAI Co., Ltd.	NAIGAI Co., Ltd.	Asia	Non-financial corporation
Meiko Trans Co., Ltd.	Meiko Trans Co., Ltd.	Asia	Non-financial corporation
Topy Industries, Ltd.	Topy Industries, Ltd.	Asia	Non-financial corporation
Nichiha Corp.	Nichiha Corp.	Asia	Non-financial corporation
JTEKT Corp.	JTEKT Corp.	Asia	Non-financial corporation
Yodogawa Steel Works, Ltd.	Yodogawa Steel Works, Ltd.	Asia	Non-financial corporation
Ikuyo Co., Ltd.	Ikuyo Co., Ltd.	Asia	Non-financial corporation
Daisan Co., Ltd.	Daisan Co., Ltd.	Asia	Non-financial corporation
Sanrio Co., Ltd.	Sanrio Co., Ltd.	Asia	Non-financial corporation
Showa Denko K.K.	Showa Denko K.K.	Asia	Non-financial corporation
Hokuetsu Kishu Paper Co., Ltd.	Hokuetsu Kishu Paper Co., Ltd.	Asia	Non-financial corporation
The Pack Corp.	The Pack Corp.	Asia	Non-financial corporation
Tachikawa Corp.	Tachikawa Corp.	Asia	Non-financial corporation
Taihei Dengyo Kaisha, Ltd.	Taihei Dengyo Kaisha, Ltd.	Asia	Non-financial corporation
Carlit Holdings Co., Ltd.	Carlit Holdings Co., Ltd.	Asia	Non-financial corporation
Sankyo Seiko Co., Ltd.	Sankyo Seiko Co., Ltd.	Asia	Non-financial corporation
Onward Holdings Co., Ltd.	Onward Holdings Co., Ltd.	Asia	Non-financial corporation
Mitsui Chemicals, Inc.	Mitsui Chemicals, Inc.	Asia	Non-financial corporation
ASICS Corp.	ASICS Corp.	Asia	Non-financial corporation
Chuetsu Pulp & Paper Co., Ltd.	Chuetsu Pulp & Paper Co., Ltd.	Asia	Non-financial corporation
Tenmaya Store Co., Ltd.	Tenmaya Store Co., Ltd.	Asia	Non-financial corporation
Tosoh Corp.	Tosoh Corp.	Asia	Non-financial corporation
The Japan Wool Textile Co., Ltd.	The Japan Wool Textile Co., Ltd.	Asia	Non-financial corporation
Okayamaken Freight Transportation Co., Ltd.	Okayamaken Freight Transportation Co., Ltd.	Asia	Non-financial corporation
Okayama Paper Industries Co., Ltd.	Okayama Paper Industries Co., Ltd.	Asia	Non-financial corporation
Nippon Kanryu Industry Co., Ltd.	Nippon Kanryu Industry Co., Ltd.	Asia	Non-financial corporation
KOMAIHALTEC Inc.	KOMAIHALTEC Inc.	Asia	Non-financial corporation
Lilycolor Co., Ltd.	Lilycolor Co., Ltd.	Asia	Non-financial corporation
Sankyu Inc.	Sankyu Inc.	Asia	Non-financial corporation
Okamoto Industries, Inc.	Okamoto Industries, Inc.	Asia	Non-financial corporation
Pacific Metals Co., Ltd.	Pacific Metals Co., Ltd.	Asia	Non-financial corporation
Mitsui O.S.K. Lines, Ltd.	Mitsui O.S.K. Lines, Ltd.	Asia	Non-financial corporation
Sumitomo Warehouse Co., Ltd.	Enshu Truck Co., Ltd.	Asia	Non-financial corporation
Chubushiryo Co., Ltd.	Chubushiryo Co., Ltd.	Asia	Non-financial corporation
Konica Minolta, Inc.	Konica Minolta, Inc.	Asia	Non-financial corporation
Okano Valve Manufacturing Co., Ltd.	Okano Valve Manufacturing Co., Ltd.	Asia	Non-financial corporation
Organo Corp.	Organo Corp.	Asia	Non-financial corporation
Kurimoto, Ltd.	Kurimoto, Ltd.	Asia	Non-financial corporation
Teikoku Sen-I Co., Ltd.	Teikoku Sen-I Co., Ltd.	Asia	Non-financial corporation
Tokyo Steel Manufacturing Co., Ltd.	Tokyo Steel Manufacturing Co., Ltd.	Asia	Non-financial corporation
Citizen Watch Co., Ltd.	Citizen Watch Co., Ltd.	Asia	Non-financial corporation
Bunka Shutter Co. Ltd.	Bunka Shutter Co. Ltd.	Asia	Non-financial corporation
KURABO INDUSTRIES LTD.	KURABO INDUSTRIES LTD.	Asia	Non-financial corporation
Kurogane Kosakusho Ltd.	Kurogane Kosakusho Ltd.	Asia	Non-financial corporation
Futaba Industrial Co., Ltd.	Futaba Industrial Co., Ltd.	Asia	Non-financial corporation
Toho Chemical Industry Co., Ltd.	Toho Chemical Industry Co., Ltd.	Asia	Non-financial corporation
Toyo Kohan Co., Ltd.	Toyo Kohan Co., Ltd.	Asia	Non-financial corporation
Scroll Corp.	Scroll Corp.	Asia	Non-financial corporation
Kawagishi Bridge Works Co., Ltd.	Kawagishi Bridge Works Co., Ltd.	Asia	Non-financial corporation
Toyo Ink SC Holdings Co., Ltd.	Toyo Ink SC Holdings Co., Ltd.	Asia	Non-financial corporation
Sumitomo Warehouse Co., Ltd.	Sumitomo Warehouse Co., Ltd.	Asia	Non-financial corporation
Takara Holdings Inc.	Takara Holdings Inc.	Asia	Non-financial corporation
AEON Co., Ltd.	AEON Co., Ltd.	Asia	Non-financial corporation
Nippon Paper Industries Co., Ltd.	Nippon Paper Industries Co., Ltd.	Asia	Non-financial corporation
Sakai Heavy Industries, Ltd.	Sakai Heavy Industries, Ltd.	Asia	Non-financial corporation
ZEON Corp.	ZEON Corp.	Asia	Non-financial corporation
S&B Foods Inc.	S&B Foods Inc.	Asia	Non-financial corporation
Konishi Co., Ltd.	Konishi Co., Ltd.	Asia	Non-financial corporation
Central Security Patrols Co., Ltd.	Central Security Patrols Co., Ltd.	Asia	Non-financial corporation
Kaneka Corp.	Kaneka Corp.	Asia	Non-financial corporation
Tonami Holdings Co., Ltd.	Tonami Holdings Co., Ltd.	Asia	Non-financial corporation
Toagosei Co., Ltd.	Toagosei Co., Ltd.	Asia	Non-financial corporation
Isetan Mitsukoshi Holdings Ltd.	Isetan Mitsukoshi Holdings Ltd.	Asia	Non-financial corporation
Araya Industrial Co., Ltd.	Araya Industrial Co., Ltd.	Asia	Non-financial corporation
TOKYO ROPE MFG. CO., LTD.	TOKYO ROPE MFG. CO., LTD.	Asia	Non-financial corporation
Noda Corp.	Noda Corp.	Asia	Non-financial corporation
J-Oil Mills, Inc.	J-Oil Mills, Inc.	Asia	Non-financial corporation
Soda Nikka Co., Ltd.	Soda Nikka Co., Ltd.	Asia	Non-financial corporation
Mitsui O.S.K. Lines, Ltd.	Utoc Corp.	Asia	Non-financial corporation
Kyosan Electric Manufacturing Co., Ltd.	Kyosan Electric Manufacturing Co., Ltd.	Asia	Non-financial corporation
S Foods, Inc.	S Foods, Inc.	Asia	Non-financial corporation
Oliver Corp.	Oliver Corp.	Asia	Non-financial corporation
NSK Ltd.	NSK Ltd.	Asia	Non-financial corporation
Toray Industries, Inc.	Toray Industries, Inc.	Asia	Non-financial corporation
Godo Steel, Ltd.	Godo Steel, Ltd.	Asia	Non-financial corporation
Nitto FC Co., Ltd.	Nitto FC Co., Ltd.	Asia	Non-financial corporation
Fukuvi Chemical Industry Co., Ltd.	Fukuvi Chemical Industry Co., Ltd.	Asia	Non-financial corporation
Mitsui Fudosan Co., Ltd.	Mitsui Fudosan Co., Ltd.	Asia	Non-financial corporation
Mitsui Mining & Smelting Co., Ltd.	Mitsui Mining & Smelting Co., Ltd.	Asia	Non-financial corporation
Denka Co., Ltd.	Denka Co., Ltd.	Asia	Non-financial corporation
The Japan Steel Works Ltd.	The Japan Steel Works Ltd.	Asia	Non-financial corporation
Kawakami Paint Manufacturing Co., Ltd.	Kawakami Paint Manufacturing Co., Ltd.	Asia	Non-financial corporation
Asaka Industrial Co., Ltd.	Asaka Industrial Co., Ltd.	Asia	Non-financial corporation
Mitsui Engineering & Shipbuilding Co., Ltd.	Mitsui Engineering & Shipbuilding Co., Ltd.	Asia	Non-financial corporation
SAKAI OVEX Co., Ltd.	SAKAI OVEX Co., Ltd.	Asia	Non-financial corporation
Harima Chemicals Group, Inc.	Harima Chemicals Group, Inc.	Asia	Non-financial corporation
SANYO SHOKAI LTD.	SANYO SHOKAI LTD.	Asia	Non-financial corporation
Furuno Electric Co., Ltd.	Furuno Electric Co., Ltd.	Asia	Non-financial corporation
Canox Corp.	Canox Corp.	Asia	Non-financial corporation
Shin-Etsu Chemical Co., Ltd.	Shin-Etsu Chemical Co., Ltd.	Asia	Non-financial corporation
Tomoe Corp.	Tomoe Corp.	Asia	Non-financial corporation
NFK Holdings Co., Ltd.	NFK Holdings Co., Ltd.	Asia	Non-financial corporation
Nippon Soda Co., Ltd.	Nippon Soda Co., Ltd.	Asia	Non-financial corporation
Key Coffee, Inc.	Key Coffee, Inc.	Asia	Non-financial corporation
Shin-Etsu Chemical Co., Ltd.	Shin-Etsu Polymer Co., Ltd.	Asia	Non-financial corporation
Taki Chemical Co., Ltd.	Taki Chemical Co., Ltd.	Asia	Non-financial corporation
Narasaki Sangyo Co., Ltd.	Narasaki Sangyo Co., Ltd.	Asia	Non-financial corporation
Life Corp.	Life Corp.	Asia	Non-financial corporation
Asahimatsu Foods Co., Ltd.	Asahimatsu Foods Co., Ltd.	Asia	Non-financial corporation
J. FRONT RETAILING Co., Ltd.	J. FRONT RETAILING Co., Ltd.	Asia	Non-financial corporation
Toyo Tire & Rubber Co., Ltd.	Toyo Tire & Rubber Co., Ltd.	Asia	Non-financial corporation
Nippon Beet Sugar Manufacturing Co., Ltd.	Nippon Beet Sugar Manufacturing Co., Ltd.	Asia	Non-financial corporation
Tokyo Sangyo Co., Ltd.	Tokyo Sangyo Co., Ltd.	Asia	Non-financial corporation
Tokai Carbon Co., Ltd.	Tokai Carbon Co., Ltd.	Asia	Non-financial corporation
Asahi Glass Co., Ltd.	Asahi Glass Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Research Institute, Inc.	Mitsubishi Research Institute, Inc.	Asia	Non-financial corporation
Kirin Holdings Co., Ltd.	Kirin Holdings Co., Ltd.	Asia	Non-financial corporation
Nagatanien Holdings Co., Ltd.	Nagatanien Holdings Co., Ltd.	Asia	Non-financial corporation
Dai Nippon Toryo Co., Ltd.	Dai Nippon Toryo Co., Ltd.	Asia	Non-financial corporation
Kanto Denka Kogyo Co., Ltd.	Kanto Denka Kogyo Co., Ltd.	Asia	Non-financial corporation
Okamura Corp.	Okamura Corp.	Asia	Non-financial corporation
Nippon Steel & Sumitomo Metal Corp.	Nippon Steel & Sumitomo Metal Corp.	Asia	Non-financial corporation
TOHO GAS Co., Ltd.	TOHO GAS Co., Ltd.	Asia	Non-financial corporation
Chugai Ro Co., Ltd.	Chugai Ro Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Steel Mfg. Co., Ltd.	Mitsubishi Steel Mfg. Co., Ltd.	Asia	Non-financial corporation
Nikon Corp.	Nikon Corp.	Asia	Non-financial corporation
Toa Valve Engineering Inc.	Toa Valve Engineering Inc.	Asia	Non-financial corporation
Mitsubishi Materials Corp.	Mitsubishi Materials Corp.	Asia	Non-financial corporation
Rokko Butter Co., Ltd.	Rokko Butter Co., Ltd.	Asia	Non-financial corporation
Kobe Steel, Ltd.	Nippon Koshuha Steel Co., Ltd.	Asia	Non-financial corporation
Adeka Corp.	Adeka Corp.	Asia	Non-financial corporation
Casio Computer Co., Ltd.	Casio Computer Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Logistics Corp.	Mitsubishi Logistics Corp.	Asia	Non-financial corporation
House Foods Group Inc.	House Foods Group Inc.	Asia	Non-financial corporation
Maruichi Steel Tube Ltd.	Maruichi Steel Tube Ltd.	Asia	Non-financial corporation
Tohoku Steel Co., Ltd.	Tohoku Steel Co., Ltd.	Asia	Non-financial corporation
Nippon Yusen KK	Nippon Yusen KK	Asia	Non-financial corporation
Nihon Kohden Corp.	Nihon Kohden Corp.	Asia	Non-financial corporation
Tohoku Chemical Co., Ltd.	Tohoku Chemical Co., Ltd.	Asia	Non-financial corporation
NASU DENKI-TEKKO CO., LTD.	NASU DENKI-TEKKO CO., LTD.	Asia	Non-financial corporation
Nippon Shinyaku Co., Ltd.	Nippon Shinyaku Co., Ltd.	Asia	Non-financial corporation
Shizuoka Gas Co., Ltd.	Shizuoka Gas Co., Ltd.	Asia	Non-financial corporation
Osaka Gas Co., Ltd.	Osaka Gas Co., Ltd.	Asia	Non-financial corporation
Look Inc.	Look Inc.	Asia	Non-financial corporation
Molitec Steel Co., Ltd.	Molitec Steel Co., Ltd.	Asia	Non-financial corporation
SATO SHO-JI CORP.	SATO SHO-JI CORP.	Asia	Non-financial corporation
Mitsubishi Chemical Holdings Corp.	Taiyo Nippon Sanso Corp.	Asia	Non-financial corporation
NGK Insulators, Ltd.	NGK Insulators, Ltd.	Asia	Non-financial corporation
Miyoshi Oil & Fat Co., Ltd.	Miyoshi Oil & Fat Co., Ltd.	Asia	Non-financial corporation
CHUDENKO CORP.	CHUDENKO CORP.	Asia	Non-financial corporation
Mitsubishi Gas Chemical Co., Inc.	Mitsubishi Gas Chemical Co., Inc.	Asia	Non-financial corporation
Mitsubishi Kakoki Kaisha, Ltd.	Mitsubishi Kakoki Kaisha, Ltd.	Asia	Non-financial corporation
Ryobi Ltd.	Ryobi Ltd.	Asia	Non-financial corporation
The Takigami Steel Construction Co., Ltd.	The Takigami Steel Construction Co., Ltd.	Asia	Non-financial corporation
Mitsubishi Paper Mills Ltd.	Mitsubishi Paper Mills Ltd.	Asia	Non-financial corporation
Kubota Corp.	Kubota Corp.	Asia	Non-financial corporation
Mitsubishi Heavy Industries, Ltd.	Mitsubishi Heavy Industries, Ltd.	Asia	Non-financial corporation
Shinko Wire Co., Ltd.	Shinko Wire Co., Ltd.	Asia	Non-financial corporation
GAKUJO Co., Ltd.	GAKUJO Co., Ltd.	Asia	Non-financial corporation
Tokyo Keiki Inc.	Tokyo Keiki Inc.	Asia	Non-financial corporation
Cosmo Bio Co., Ltd.	Cosmo Bio Co., Ltd.	Asia	Non-financial corporation
Energy Transfer Partners LP	Energy Transfer Partners LP	North America	Non-financial corporation
KISOJI CO., LTD.	KISOJI CO., LTD.	Asia	Non-financial corporation
Domy Co., Ltd.	Domy Co., Ltd.	Asia	Non-financial corporation
Mitsui Sugar Co., Ltd.	Mitsui Sugar Co., Ltd.	Asia	Non-financial corporation
CALBEE, Inc.	CALBEE, Inc.	Asia	Non-financial corporation
Morinaga & Co., Ltd.	Morinaga & Co., Ltd.	Asia	Non-financial corporation
FamilyMart UNY Holdings Co. Ltd.	FamilyMart UNY Holdings Co. Ltd.	Asia	Non-financial corporation
Daisho Co., Ltd.	Daisho Co., Ltd.	Asia	Non-financial corporation
Yamazaki Baking Co., Ltd.	Fujiya Co., Ltd.	Asia	Non-financial corporation
Nissei Plastic Industrial Co., Ltd.	Nissei Plastic Industrial Co., Ltd.	Asia	Non-financial corporation
Topre Corp.	Topre Corp.	Asia	Non-financial corporation
Yamaura Corp.	Yamaura Corp.	Asia	Non-financial corporation
Yutaka Foods Corp.	Yutaka Foods Corp.	Asia	Non-financial corporation
Toray Industries, Inc.	Suido Kiko Kaisha, Ltd.	Asia	Non-financial corporation
